Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2020-01-02,26.47,46.9,0.75(1.63 %),872620,40798000000,0,0,46.0,47.2,45.9
2020-01-03,26.36,46.7,-0.2(-0.43 %),603940,28456000000,0,0,47.35,47.5,46.7
2020-01-06,25.85,45.8,-0.9(-1.93 %),794490,36670000000,0,0,46.7,46.7,45.8
2020-01-07,26.36,46.7,0.9(1.97 %),526890,24222000000,0,0,45.8,46.7,45.2
2020-01-08,26.59,47.1,0.4(0.86 %),1230830,57783000000,0,0,46.0,47.9,45.8
2020-01-09,28.03,49.65,2.55(5.41 %),1573190,76888000000,0,0,47.75,49.9,47.6
2020-01-10,28.96,51.3,1.65(3.32 %),1506410,76387000000,0,0,49.65,52.0,49.6
2020-01-13,28.28,50.1,-1.2(-2.34 %),544740,27473000000,0,0,49.9,51.5,49.5
2020-01-14,28.28,50.1,0(0.00 %),752200,37887000000,100000,5022000000,50.1,51.5,49.9
2020-01-15,28.79,51.0,0.9(1.80 %),695290,35172000000,0,0,49.9,51.3,49.9
2020-01-16,30.48,54.0,3(5.88 %),1004080,53226000000,0,0,51.0,54.1,51.0
2020-01-17,30.2,53.5,-0.5(-0.93 %),643490,34593000000,0,0,54.1,54.6,53.1
2020-01-20,30.09,53.3,-0.2(-0.37 %),761650,40791000000,0,0,53.5,54.2,53.2
2020-01-21,30.48,54.0,0.7(1.31 %),609600,32786000000,60000,3229800000,53.3,54.5,53.3
2020-01-22,31.33,55.5,1.5(2.78 %),781390,42998000000,30000,1509000000,54.0,55.8,53.8
2020-01-30,29.75,52.7,-2.8(-5.05 %),1388710,74479000000,0,0,54.5,54.9,52.0
2020-01-31,29.07,51.5,-1.2(-2.28 %),1154570,60720000000,0,0,52.3,53.6,51.5
2020-02-03,30.2,53.5,2(3.88 %),1562560,78295000000,0,0,53.5,55.0,47.9
2020-02-04,30.71,54.4,0.9(1.68 %),1406270,76073000000,400220,21626644400,54.4,54.7,53.6
2020-02-05,30.2,53.5,-0.9(-1.65 %),718710,38869000000,0,0,54.9,55.2,53.5
2020-02-06,30.03,53.2,-0.3(-0.56 %),1469930,78686000000,0,0,53.4,54.1,53.0
2020-02-07,29.18,51.7,-1.5(-2.82 %),1501140,78353000000,0,0,52.7,53.3,51.6
2020-02-10,27.71,49.1,-2.6(-5.03 %),1111680,55907000000,0,0,50.9,51.2,49.1
2020-02-11,28.67,50.8,1.7(3.46 %),917080,46255000000,0,0,49.1,51.4,49.1
2020-02-12,28.67,50.8,0(0.00 %),704550,36004000000,0,0,51.5,51.8,50.7
2020-02-13,28.45,50.4,-0.4(-0.79 %),578820,29161000000,0,0,50.7,51.0,49.9
2020-02-14,28.22,50.0,-0.4(-0.79 %),627040,31420000000,0,0,50.1,50.6,50.0
2020-02-17,29.07,51.5,1.5(3.00 %),863730,44045000000,0,0,50.2,51.5,50.1
2020-02-18,29.35,52.0,0.5(0.97 %),879430,45831000000,0,0,51.9,52.6,51.5
2020-02-19,28.96,51.3,-0.7(-1.35 %),372250,19189000000,0,0,52.0,52.1,51.2
2020-02-20,28.96,51.3,0(0.00 %),552810,28479000000,0,0,51.9,52.0,51.2
2020-02-21,27.94,49.5,-1.8(-3.51 %),2619020,130402000000,0,0,51.3,51.3,48.75
2020-02-24,26.13,46.3,-3.2(-6.46 %),1081210,51352000000,0,0,48.2,48.8,46.3
2020-02-25,27.55,48.8,2.5(5.40 %),878610,41253000000,0,0,45.0,48.8,45.0
