Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2020-01-02,21.17,58.6,0.3(0.51 %),896720,52545000000,0,0,58.3,59.0,58.0
2020-01-03,20.81,57.6,-1(-1.71 %),2047880,118934000000,0,0,58.9,59.1,57.4
2020-01-06,20.59,57.0,-0.6(-1.04 %),1091660,62404000000,0,0,57.1,57.6,56.8
2020-01-07,20.99,58.1,1.1(1.93 %),837240,48253000000,0,0,57.3,58.1,57.0
2020-01-08,20.52,56.8,-1.3(-2.24 %),1814290,103654000000,24230,1504683000,57.5,57.7,56.8
2020-01-09,20.81,57.6,0.8(1.41 %),967050,55537000000,0,0,57.3,57.7,57.1
2020-01-10,20.77,57.5,-0.1(-0.17 %),1018650,58495000000,0,0,57.5,57.8,57.1
2020-01-13,20.63,57.1,-0.4(-0.70 %),786760,44986000000,39000,2242500000,57.4,57.6,57.0
2020-01-14,20.59,57.0,-0.1(-0.18 %),721680,41252000000,83700,5105700000,57.1,57.4,57.0
2020-01-15,20.59,57.0,0(0.00 %),940870,53581000000,92150,5611935000,57.0,57.1,56.8
2020-01-16,20.95,58.0,1(1.75 %),1942970,112252000000,0,0,57.0,58.2,57.0
2020-01-17,20.81,57.6,-0.4(-0.69 %),1388810,79895000000,0,0,58.0,58.1,57.0
2020-01-20,20.74,57.4,-0.2(-0.35 %),1227100,70609000000,573800,30755680000,57.5,58.0,57.2
2020-01-21,20.05,55.5,-1.9(-3.31 %),4351820,246007000000,99900,6133860000,57.8,58.0,55.5
2020-01-22,20.41,56.5,1(1.80 %),3165650,175355000000,0,0,55.0,56.5,54.7
2020-01-30,19.76,54.7,-1.8(-3.19 %),2638460,145071000000,334000,20173600000,55.3,55.8,53.9
2020-01-31,18.78,52.0,-2.7(-4.94 %),4118150,218292000000,252900,14794650000,54.0,54.9,52.0
2020-02-03,18.6,51.5,-0.5(-0.96 %),3602970,180912000000,0,0,51.5,52.5,49.0
2020-02-04,18.71,51.8,0.3(0.58 %),1651440,85469000000,0,0,52.4,52.4,51.0
2020-02-05,18.78,52.0,0.2(0.39 %),1648620,86333000000,0,0,52.3,52.8,52.0
2020-02-06,19.36,53.6,1.6(3.08 %),1708550,90089000000,25200,1401120000,52.5,53.6,51.8
2020-02-07,19.25,53.3,-0.3(-0.56 %),1218660,64700000000,0,0,53.0,53.5,52.8
2020-02-10,19.0,52.6,-0.7(-1.31 %),738090,38790000000,0,0,52.4,53.0,52.1
2020-02-11,19.36,53.6,1(1.90 %),1085380,57938000000,0,0,52.9,53.7,52.7
2020-02-12,19.54,54.1,0.5(0.93 %),1104870,59878000000,0,0,53.8,54.7,53.7
2020-02-13,19.62,54.3,0.2(0.37 %),1030570,55673000000,0,0,54.1,54.5,53.7
2020-02-14,19.69,54.5,0.2(0.37 %),884240,47966000000,47000,2730700000,54.1,54.5,54.0
2020-02-17,19.58,54.2,-0.3(-0.55 %),726390,39402000000,270000,15741000000,54.6,54.6,54.0
2020-02-18,20.23,56.0,1.8(3.32 %),1760940,97252000000,51644,2900187600,54.4,56.0,54.3
2020-02-19,20.12,55.7,-0.3(-0.54 %),681250,38082000000,75930,4548207000,55.9,56.2,55.5
2020-02-20,20.16,55.8,0.1(0.18 %),780810,43565000000,0,0,56.1,56.4,55.5
2020-02-21,19.76,54.7,-1.1(-1.97 %),1458040,80556000000,0,0,55.9,55.9,54.7
2020-02-24,18.97,52.5,-2.2(-4.02 %),2261990,120126000000,20000,1078000000,53.1,53.9,52.5
2020-02-25,19.51,54.0,1.5(2.86 %),1407720,74318000000,0,0,52.1,54.0,52.0
2020-02-26,19.87,55.0,1(1.85 %),3221270,175916000000,20000,1140000000,53.4,55.2,53.0
2020-02-27,20.23,56.0,1(1.82 %),2927040,163000000000,219448,12903542400,55.0,56.5,54.6
2020-02-28,19.9,55.1,-0.9(-1.61 %),2132200,117254000000,331000,19436900000,55.0,55.7,54.6
2020-03-02,20.12,55.7,0.6(1.09 %),1787060,99176000000,63000,3710700000,55.1,56.2,54.8
2020-03-03,20.19,55.9,0.2(0.36 %),1193800,67070000000,294600,17089950000,56.2,57.0,55.7
2020-03-04,20.05,55.5,-0.4(-0.72 %),1660790,91558000000,152070,9093786000,55.5,55.5,54.9
2020-03-05,19.72,54.6,-0.9(-1.62 %),1296450,71436000000,0,0,55.5,55.9,54.6
2020-03-06,19.51,54.0,-0.6(-1.10 %),1305030,70475000000,175500,10003500000,54.2,54.3,53.5
2020-03-09,18.17,50.3,-3.7(-6.85 %),4735140,241029000000,1163190,66954063000,51.2,52.0,50.3
2020-03-10,18.68,51.7,1.4(2.78 %),2030340,104301000000,31000,1667800000,51.0,52.0,50.3
2020-03-11,18.35,50.8,-0.9(-1.74 %),2753310,139856000000,141960,7710388000,52.0,52.5,49.5
2020-03-12,17.38,48.1,-2.7(-5.31 %),3981670,192752000000,398740,21651582000,48.6,49.3,47.3
2020-03-13,17.39,48.15,0.05(0.10 %),2919140,136992000000,381160,19591624000,45.3,50.0,45.2
2020-03-16,17.2,47.6,-0.55(-1.14 %),1898960,92043000000,190300,9800450000,48.15,49.7,47.5
2020-03-17,17.52,48.5,0.9(1.89 %),2474650,118343000000,318350,16204015000,48.5,48.5,46.5
2020-03-18,17.48,48.4,-0.1(-0.21 %),1642800,79974000000,366740,18997132000,49.0,49.1,48.35
2020-03-19,17.23,47.7,-0.7(-1.45 %),1296590,62079000000,919880,47557796000,47.6,48.1,47.6
2020-03-20,17.23,47.7,0(0.00 %),1291360,61618000000,281800,14029920000,48.2,48.25,47.35
2020-03-23,16.04,44.4,-3.3(-6.92 %),2826690,127014000000,1390180,70899180000,46.1,46.9,44.4
2020-03-24,16.08,44.5,0.1(0.23 %),2191500,97504000000,1358680,64537300000,45.0,45.0,43.5
2020-03-25,16.62,46.0,1.5(3.37 %),2131790,97434000000,100000,4760000000,46.0,46.4,45.15
2020-03-26,15.97,44.2,-1.8(-3.91 %),2358310,105976000000,177900,8752680000,45.5,45.85,44.2
2020-03-27,15.57,43.1,-1.1(-2.49 %),2633750,115092000000,20000,944000000,44.4,44.4,42.9
2020-03-30,14.59,40.4,-2.7(-6.26 %),2157690,87327000000,2606630,120165643000,40.5,41.1,40.1
2020-03-31,14.85,41.1,0.7(1.73 %),1663050,68788000000,774000,31336800000,41.5,42.4,40.1
2020-04-01,15.28,42.3,1.2(2.92 %),1453030,61491000000,56606,2279179500,40.8,43.2,40.8
2020-04-03,16.11,44.6,2.3(5.44 %),2072000,91104000000,597182,27022485500,43.0,44.65,42.7
2020-04-06,17.16,47.5,2.9(6.50 %),2718990,126680000000,188730,9002421000,46.0,47.5,45.5
2020-04-07,17.09,47.3,-0.2(-0.42 %),2463810,116164000000,20000,1016000000,47.5,47.7,46.5
2020-04-08,16.92,46.85,-0.45(-0.95 %),1576670,73069000000,81670,4132502000,46.1,47.05,45.75
2020-04-09,16.92,46.85,0(0.00 %),2142370,101243000000,20000,1002000000,47.0,47.6,46.5
2020-04-10,16.76,46.4,-0.45(-0.96 %),1882020,87403000000,1542913,67888172000,46.6,47.0,45.9
2020-04-13,16.8,46.5,0.1(0.22 %),1255360,58534000000,3107575,145434510000,46.4,47.0,46.1
2020-04-14,17.88,49.5,3(6.45 %),4072050,196375000000,58460,2908385000,47.6,49.5,47.0
2020-04-15,18.1,50.1,0.6(1.21 %),2205200,110654000000,0,0,50.5,50.8,49.85
2020-04-16,18.17,50.3,0.2(0.40 %),1508480,75489000000,20000,1072000000,49.7,50.8,49.3
2020-04-17,18.5,51.2,0.9(1.79 %),2631630,133883000000,46570,2505466000,51.2,51.3,50.2
2020-04-20,18.53,51.3,0.1(0.20 %),2239780,115242000000,0,0,51.9,52.0,50.7
2020-04-21,17.81,49.3,-2(-3.90 %),3737050,186599000000,122000,6685600000,50.5,50.9,48.9
2020-04-22,18.46,51.1,1.8(3.65 %),2445860,122343000000,1807010,94889427000,48.8,51.2,48.7
2020-04-23,18.42,51.0,-0.1(-0.20 %),1363410,70087000000,27000,1474200000,52.1,52.2,51.0
2020-04-24,18.42,51.0,0(0.00 %),1411380,71454000000,20000,1090000000,50.9,51.2,50.1
2020-04-27,18.32,50.7,-0.3(-0.59 %),1419750,72191000000,50000,2725000000,51.5,51.5,50.5
2020-04-28,18.32,50.7,0(0.00 %),974310,49182000000,225000,12195000000,50.7,50.8,50.2
2020-04-29,18.35,50.8,0.1(0.20 %),1349230,68843000000,0,0,50.8,51.4,50.5
2020-05-04,18.24,50.5,-0.3(-0.59 %),895530,45174000000,145596,7555862800,50.2,50.9,49.8
2020-05-05,18.39,50.9,0.4(0.79 %),677990,34376000000,0,0,50.8,51.0,50.4
2020-05-06,19.11,52.9,2(3.93 %),3470150,181788000000,801850,43428640000,51.0,53.1,51.0
2020-05-07,19.33,53.5,0.6(1.13 %),2030720,107373000000,60000,3396000000,53.0,53.5,52.4
2020-05-08,19.4,53.7,0.2(0.37 %),3585320,194802000000,40000,2280000000,53.6,55.1,53.6
2020-05-11,19.51,54.0,0.3(0.56 %),2119430,114334000000,60000,3444000000,54.0,54.4,53.3
2020-05-12,19.65,54.4,0.4(0.74 %),2828190,152699000000,20000,1154000000,54.0,54.4,53.6
2020-05-13,20.88,49.35,-5.05(-9.28 %),6853810,332801000000,60000,2733000000,47.5,49.55,47.4
2020-05-14,20.61,48.7,-0.65(-1.32 %),2597400,126509000000,1140365,58530724500,48.95,49.1,48.5
2020-05-15,20.31,48.0,-0.7(-1.44 %),2430890,117017000000,0,0,48.3,48.9,47.75
2020-05-18,20.46,48.35,0.35(0.73 %),2000950,95748000000,20000,1026000000,47.5,48.35,47.4
2020-05-19,20.84,49.25,0.9(1.86 %),2879030,141812000000,120000,6000000000,49.2,49.7,48.6
2020-05-20,20.69,48.9,-0.35(-0.71 %),1245380,60873000000,0,0,49.0,49.0,48.55
2020-05-21,20.86,49.3,0.4(0.82 %),2007060,98488000000,0,0,48.9,49.3,48.85
2020-05-22,20.5,48.45,-0.85(-1.72 %),1731720,84408000000,0,0,49.0,49.0,48.45
2020-05-25,20.5,48.45,0(0.00 %),2033000,97948000000,80000,4144000000,48.5,48.6,47.8
2020-05-26,20.65,48.8,0.35(0.72 %),1615680,78467000000,21890,1133902000,48.5,48.8,48.35
2020-05-27,20.31,48.0,-0.8(-1.64 %),2098580,102592000000,21890,1142658000,48.9,49.4,48.0
2020-05-28,20.31,48.0,0(0.00 %),1194380,57600000000,21890,1122957000,48.2,48.6,48.0
2020-05-29,20.29,47.95,-0.05(-0.10 %),1346170,64435000000,21890,1122957000,48.0,48.1,47.5
2020-06-01,20.44,48.3,0.35(0.73 %),1298150,62553000000,322340,16536042000,48.0,48.35,48.0
2020-06-02,20.31,48.0,-0.3(-0.62 %),1456730,70096000000,68890,3408424000,48.3,48.5,48.0
2020-06-03,20.59,48.65,0.65(1.35 %),1893060,91605000000,61890,2962957000,48.0,48.95,47.9
2020-06-04,20.48,48.4,-0.25(-0.51 %),1260060,61379000000,66890,3478280000,48.9,48.9,48.4
2020-06-05,20.61,48.7,0.3(0.62 %),1236200,60008000000,454108,23477383600,48.4,48.7,48.15
2020-06-08,20.88,49.35,0.65(1.33 %),4113250,204111000000,101890,5100469000,49.0,50.0,49.0
2020-06-09,20.72,48.95,-0.4(-0.81 %),1491540,73591000000,41890,2205792000,49.6,49.65,48.9
2020-06-10,20.65,48.8,-0.15(-0.31 %),1307540,63651000000,27520,1439296000,49.0,49.0,48.4
2020-06-11,19.47,46.0,-2.8(-5.74 %),4278060,203787000000,350000,16870000000,48.8,48.8,46.0
2020-06-12,19.89,47.0,1(2.17 %),3145450,144922000000,30000,1476000000,45.0,47.0,45.0
2020-06-15,19.47,46.0,-1(-2.13 %),1207500,56109000000,20000,1004000000,48.0,48.0,45.9
