Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2020-01-02,51.12,117.0,3(2.63 %),716290,82745000000,0,0,114.0,117.0,113.7
2020-01-03,50.37,115.3,-1.7(-1.45 %),791020,92009000000,300000,35100000000,117.0,117.7,115.2
2020-01-06,50.11,114.7,-0.6(-0.52 %),389250,44626000000,0,0,114.8,115.4,114.0
2020-01-07,50.5,115.6,0.9(0.78 %),648230,74179000000,0,0,114.7,115.6,113.3
2020-01-08,49.28,112.8,-2.8(-2.42 %),742390,84249000000,0,0,114.0,115.0,112.8
2020-01-09,50.02,114.5,1.7(1.51 %),318070,36368000000,0,0,113.9,115.0,113.4
2020-01-10,50.29,115.1,0.6(0.52 %),412180,47400000000,0,0,114.6,115.6,114.3
2020-01-13,50.02,114.5,-0.6(-0.52 %),288240,33020000000,205000,22035500000,114.5,115.3,114.1
2020-01-14,49.76,113.9,-0.6(-0.52 %),320810,36631000000,840000,96600000000,114.8,114.8,113.8
2020-01-15,49.81,114.0,0.1(0.09 %),293160,33392000000,25000,3045000000,113.9,114.2,113.7
2020-01-16,50.42,115.4,1.4(1.23 %),521080,60081000000,248760,26447168000,114.0,116.0,113.9
2020-01-17,50.72,116.1,0.7(0.61 %),435030,50436000000,0,0,115.4,116.2,115.4
2020-01-20,51.81,118.6,2.5(2.15 %),1463940,172614000000,6044060,743569852000,115.5,118.6,115.5
2020-01-21,52.43,120.0,1.4(1.18 %),692200,82671000000,250000,31725000000,118.6,120.5,118.4
2020-01-22,52.08,119.2,-0.8(-0.67 %),460240,54868000000,0,0,119.6,120.1,118.5
2020-01-30,49.81,114.0,-5.2(-4.36 %),1315710,151578000000,0,0,116.0,117.1,113.0
2020-01-31,48.41,110.8,-3.2(-2.81 %),1434750,160984000000,0,0,113.0,114.6,110.5
2020-02-03,47.53,108.8,-2(-1.81 %),1949930,208284000000,59000,6987500000,108.8,109.9,104.0
2020-02-04,47.14,107.9,-0.9(-0.83 %),905300,97398000000,0,0,109.0,110.5,106.4
2020-02-05,47.18,108.0,0.1(0.09 %),805800,87581000000,0,0,108.0,109.7,108.0
2020-02-06,47.84,109.5,1.5(1.39 %),785620,85809000000,39000,3939000000,108.0,110.3,108.0
2020-02-07,47.49,108.7,-0.8(-0.73 %),628350,68093000000,0,0,109.3,109.3,107.8
2020-02-10,46.22,105.8,-2.9(-2.67 %),702790,74767000000,0,0,106.5,107.5,105.8
2020-02-11,46.53,106.5,0.7(0.66 %),396130,42134000000,80000,9010000000,106.0,106.8,106.0
2020-02-12,47.62,109.0,2.5(2.35 %),569230,61609000000,0,0,106.7,109.4,106.7
2020-02-13,47.18,108.0,-1(-0.92 %),412040,44621000000,0,0,107.9,109.0,107.9
2020-02-14,46.79,107.1,-0.9(-0.83 %),415290,44314000000,0,0,107.0,107.7,105.9
2020-02-17,46.97,107.5,0.4(0.37 %),384490,41008000000,0,0,107.2,107.5,106.2
2020-02-18,47.58,108.9,1.4(1.30 %),568750,61731000000,0,0,107.5,109.1,107.0
2020-02-19,48.28,110.5,1.6(1.47 %),672440,73920000000,0,0,109.4,110.5,108.9
2020-02-20,48.32,110.6,0.1(0.09 %),451760,50096000000,25000,2570000000,111.0,111.4,110.2
2020-02-21,48.32,110.6,0(0.00 %),901890,100288000000,0,0,110.6,112.0,109.8
2020-02-24,46.4,106.2,-4.4(-3.98 %),1556120,165577000000,0,0,108.0,108.9,105.7
2020-02-25,46.75,107.0,0.8(0.75 %),692650,73468000000,0,0,105.2,107.0,105.2
2020-02-26,46.4,106.2,-0.8(-0.75 %),1083030,115647000000,30000,3300000000,106.0,107.9,105.5
2020-02-27,47.36,108.4,2.2(2.07 %),2144240,230360000000,0,0,106.2,108.4,106.2
2020-02-28,46.53,106.5,-1.9(-1.75 %),1295250,137129000000,0,0,106.0,107.2,104.5
2020-03-02,46.53,106.5,0(0.00 %),474160,50541000000,33560,3574140000,106.5,107.2,105.9
2020-03-03,46.48,106.4,-0.1(-0.09 %),679500,72429000000,0,0,107.8,107.8,106.3
2020-03-04,46.31,106.0,-0.4(-0.38 %),680740,71638000000,0,0,105.9,106.0,104.6
2020-03-05,46.09,105.5,-0.5(-0.47 %),673150,70838000000,0,0,106.0,106.6,104.5
2020-03-06,45.04,103.1,-2.4(-2.27 %),827890,85154000000,0,0,104.4,104.8,101.4
2020-03-09,41.9,95.9,-7.2(-6.98 %),1051190,101080000000,0,0,95.9,98.5,95.9
2020-03-10,41.02,93.9,-2(-2.09 %),1429660,131668000000,0,0,90.9,95.0,90.2
2020-03-11,38.18,87.4,-6.5(-6.92 %),1584730,141944000000,20000,1880000000,94.0,94.5,87.4
2020-03-12,35.52,81.3,-6.1(-6.98 %),527930,42921000000,0,0,81.3,81.3,81.3
2020-03-13,34.51,79.0,-2.3(-2.83 %),3610700,276690000000,115830,10065627000,75.7,86.0,75.7
2020-03-16,33.2,76.0,-3(-3.80 %),1526810,116912000000,61590,5204355000,77.0,79.2,74.0
2020-03-17,33.77,77.3,1.3(1.71 %),1252010,92670000000,0,0,77.3,78.0,71.6
2020-03-18,34.43,78.8,1.5(1.94 %),1406630,110440000000,0,0,77.8,80.5,77.0
2020-03-19,33.03,75.6,-3.2(-4.06 %),1132320,86228000000,0,0,77.0,77.7,74.6
2020-03-20,33.73,77.2,1.6(2.12 %),1095330,83248000000,0,0,75.8,77.2,74.9
2020-03-23,31.37,71.8,-5.4(-6.99 %),1361560,98460000000,92720,6907640000,73.2,75.0,71.8
2020-03-24,30.06,68.8,-3(-4.18 %),1567590,107775000000,340000,26112000000,71.8,71.8,66.8
2020-03-25,31.89,73.0,4.2(6.10 %),1417730,101169000000,0,0,70.0,73.0,69.0
2020-03-26,29.71,68.0,-5(-6.85 %),2123850,148149000000,75900,5668650000,72.3,72.3,68.0
2020-03-27,27.66,63.3,-4.7(-6.91 %),2498890,159641000000,0,0,65.3,66.0,63.3
2020-03-30,25.99,59.5,-3.8(-6.00 %),1861200,110054000000,30000,1920000000,58.9,65.0,58.9
2020-03-31,25.73,58.9,-0.6(-1.01 %),1868280,111819000000,1320000,79840000000,61.0,62.7,56.3
