Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2020-01-02,19.05,36.95,0.65(1.79 %),941730,34637000000,0,0,36.3,37.3,36.1
2020-01-03,18.81,36.5,-0.45(-1.22 %),705830,26018000000,0,0,36.95,37.05,36.5
2020-01-06,18.79,36.45,-0.05(-0.14 %),494170,18044000000,0,0,36.3,37.0,36.1
2020-01-07,18.89,36.65,0.2(0.55 %),434670,15902000000,61130,2384070000,36.5,36.85,36.4
2020-01-08,18.4,35.7,-0.95(-2.59 %),1276850,45923000000,0,0,36.4,36.6,35.6
2020-01-09,18.4,35.7,0(0.00 %),703580,25270000000,0,0,36.0,36.2,35.7
2020-01-10,18.4,35.7,0(0.00 %),444310,15904000000,0,0,35.7,36.05,35.65
2020-01-13,18.43,35.75,0.05(0.14 %),297520,10645000000,0,0,35.7,36.0,35.65
2020-01-14,18.45,35.8,0.05(0.14 %),304650,10929000000,0,0,35.75,36.0,35.75
2020-01-15,18.32,35.55,-0.25(-0.70 %),504130,17980000000,0,0,35.8,35.95,35.45
2020-01-16,18.76,36.4,0.85(2.39 %),962640,34835000000,0,0,35.75,36.5,35.65
2020-01-17,18.81,36.5,0.1(0.27 %),737100,27040000000,0,0,36.25,36.95,36.25
2020-01-20,18.94,36.75,0.25(0.68 %),680270,24963000000,0,0,36.35,36.95,36.35
2020-01-21,19.23,37.3,0.55(1.50 %),941950,35083000000,0,0,37.0,37.5,36.9
2020-01-22,19.07,37.0,-0.3(-0.80 %),973340,35927000000,0,0,37.5,37.5,36.6
2020-01-30,18.45,35.8,-1.2(-3.24 %),966270,34897000000,0,0,36.3,36.7,35.8
2020-01-31,17.47,33.9,-1.9(-5.31 %),1571820,54929000000,0,0,35.5,35.75,33.9
2020-02-03,17.27,33.5,-0.4(-1.18 %),1696970,55220000000,0,0,33.5,33.85,31.85
2020-02-04,17.22,33.4,-0.1(-0.30 %),797830,26820000000,0,0,33.7,34.2,33.3
2020-02-05,17.16,33.3,-0.1(-0.30 %),784800,26361000000,0,0,33.6,34.1,33.3
2020-02-06,17.53,34.0,0.7(2.10 %),936170,31723000000,0,0,33.65,34.6,33.4
2020-02-07,17.47,33.9,-0.1(-0.29 %),615350,20856000000,0,0,34.0,34.1,33.75
2020-02-10,17.29,33.55,-0.35(-1.03 %),530950,17835000000,0,0,33.5,33.9,33.5
2020-02-11,17.65,34.25,0.7(2.09 %),751090,25658000000,0,0,33.8,34.4,33.8
2020-02-12,17.91,34.75,0.5(1.46 %),784950,27279000000,0,0,34.5,35.0,34.5
2020-02-13,17.94,34.8,0.05(0.14 %),653670,22577000000,0,0,34.5,34.8,34.4
2020-02-14,18.12,35.15,0.35(1.01 %),419140,14630000000,0,0,34.75,35.15,34.7
2020-02-17,18.04,35.0,-0.15(-0.43 %),801580,28254000000,20000,740000000,35.2,35.65,34.8
2020-02-18,18.09,35.1,0.1(0.29 %),555770,19467000000,0,0,35.0,35.4,34.9
2020-02-19,18.12,35.15,0.05(0.14 %),321530,11283000000,0,0,35.2,35.2,35.0
2020-02-20,18.38,35.65,0.5(1.42 %),821320,29043000000,0,0,35.5,35.7,35.1
2020-02-21,18.04,35.0,-0.65(-1.82 %),517740,18336000000,0,0,35.3,35.7,35.0
2020-02-24,17.34,33.65,-1.35(-3.86 %),1031360,35065000000,0,0,34.25,34.6,33.65
2020-02-25,17.65,34.25,0.6(1.78 %),641090,21692000000,0,0,33.1,34.4,33.1
2020-02-26,17.58,34.1,-0.15(-0.44 %),583350,19917000000,0,0,33.7,34.35,33.7
2020-02-27,17.83,34.6,0.5(1.47 %),619200,21199000000,0,0,33.9,34.6,33.8
2020-02-28,17.58,34.1,-0.5(-1.45 %),648880,22085000000,0,0,33.9,34.3,33.85
2020-03-02,17.55,32.45,-1.65(-4.84 %),633770,20768000000,75000,2268750000,33.0,33.0,32.45
2020-03-03,17.52,32.4,-0.05(-0.15 %),523910,17064000000,0,0,32.8,32.85,32.4
