Ngay,GiaDieuChinh,GiaDongCua,ThayDoi,KhoiLuongKhopLenh,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,GiaMoCua,GiaCaoNhat,GiaThapNhat
2020-01-02,71.95,117.9,1.4(1.20 %),352700,41454000000,0,0,117.0,118.2,116.5
2020-01-03,72.19,118.3,0.4(0.34 %),625390,74205000000,0,0,118.2,119.0,118.2
2020-01-06,71.64,117.4,-0.9(-0.76 %),495910,58330000000,100006,11762705720,118.0,118.2,116.8
2020-01-07,72.32,118.5,1.1(0.94 %),459520,54338000000,0,0,117.5,118.8,117.5
2020-01-08,72.5,118.8,0.3(0.25 %),837710,98974000000,0,0,118.5,118.8,117.5
2020-01-09,72.38,118.6,-0.2(-0.17 %),624130,74282000000,777910,92569646100,119.0,119.5,118.4
2020-01-10,72.56,118.9,0.3(0.25 %),596280,70871000000,389230,46259985500,118.6,119.2,118.4
2020-01-13,71.64,117.4,-1.5(-1.26 %),412880,48846000000,206940,24522390000,119.0,119.0,117.4
2020-01-14,71.89,117.8,0.4(0.34 %),335180,39470000000,400000,47100000000,117.4,118.1,117.1
2020-01-15,71.89,117.8,0(0.00 %),681740,80201000000,115000,13522850000,117.8,117.9,117.2
2020-01-16,72.13,118.2,0.4(0.34 %),545090,64249000000,141500,16687240000,117.8,118.5,117.2
2020-01-17,72.38,118.6,0.4(0.34 %),375030,44397000000,223490,26474625400,118.2,118.6,117.8
2020-01-20,72.62,119.0,0.4(0.34 %),493600,58659000000,1153860,137273522400,119.0,119.2,118.4
2020-01-21,73.84,121.0,2(1.68 %),853940,102546000000,901260,107821194900,119.0,121.9,118.6
2020-01-22,74.02,121.3,0.3(0.25 %),794440,96467000000,2047320,248520094400,121.0,121.9,121.0
2020-01-30,71.16,116.6,-4.7(-3.87 %),1533720,180449000000,945190,111116654000,119.0,119.8,116.2
2020-01-31,66.21,108.5,-8.1(-6.95 %),1915820,214456000000,727450,81156148500,116.4,116.6,108.5
2020-02-03,66.09,108.3,-0.2(-0.18 %),2289150,238775000000,338980,35355614000,108.3,110.5,101.0
2020-02-04,64.08,105.0,-3.3(-3.05 %),1869040,199225000000,100000,10659000000,109.9,110.0,104.1
2020-02-05,65.05,106.6,1.6(1.52 %),1545750,162621000000,490000,52888700000,106.4,107.7,103.3
2020-02-06,65.6,107.5,0.9(0.84 %),2137020,229326000000,190840,20479040400,107.5,108.6,105.9
2020-02-07,67.25,110.2,2.7(2.51 %),1523380,166320000000,1185150,129423174300,107.7,110.5,107.6
2020-02-10,66.52,109.0,-1.2(-1.09 %),910510,98737000000,0,0,109.0,109.4,107.3
2020-02-11,65.42,107.2,-1.8(-1.65 %),885960,95542000000,361010,38931318400,109.0,109.0,107.0
2020-02-12,65.42,107.2,0(0.00 %),838170,90247000000,0,0,108.0,108.0,107.2
2020-02-13,65.24,106.9,-0.3(-0.28 %),713560,76289000000,0,0,107.2,107.5,106.6
2020-02-14,65.05,106.6,-0.3(-0.28 %),708080,75713000000,176440,18849085200,107.2,107.4,106.6
2020-02-17,65.6,107.5,0.9(0.84 %),623350,66886000000,450000,48285000000,106.8,107.6,106.8
2020-02-18,64.38,105.5,-2(-1.86 %),1078500,114716000000,0,0,107.8,107.8,105.3
2020-02-19,64.93,106.4,0.9(0.85 %),794470,84163000000,0,0,105.0,106.7,105.0
2020-02-20,64.93,106.4,0(0.00 %),624620,66728000000,100000,10648000000,107.0,107.5,106.3
2020-02-21,66.21,108.5,2.1(1.97 %),1484500,161261000000,0,0,107.5,109.4,107.5
2020-02-24,64.93,106.4,-2.1(-1.94 %),954600,101597000000,135430,14412460600,107.0,107.8,106.0
2020-02-25,65.91,108.0,1.6(1.50 %),1200220,129064000000,640000,68953200000,106.3,108.5,106.0
2020-02-26,64.08,105.0,-3(-2.78 %),1346630,142651000000,475690,50389841700,106.7,106.7,105.0
